事件类型,分类,子项,详细描述
祭祀准备,清理用品,扫帚,用于清理墓前杂草与杂物
祭祀准备,清理用品,抹布,用于擦拭墓碑及墓盖
祭祀准备,清理用品,水桶,用于盛装清洁用水
祭祀准备,清理用品,手套,用于保护手部进行清洁工作
祭祀准备,清理用品,透明胶带（备用）,用于临时修补或固定物品
祭祀准备,祭祀用品,长香,用于祭祀时点燃供奉
祭祀准备,祭祀用品,香炉,用于插放长香
祭祀准备,祭祀用品,香砂（金刚砂或小米）,铺在香炉底部固定香支
祭祀准备,祭祀用品,蜡烛（1 对）,用于祭祀时点燃照明
祭祀准备,祭祀用品,果盘（3 个）,用于盛放供品水果
祭祀准备,祭祀用品,打火机,用于点燃香烛
祭祀准备,祭祀用品,鲜花,首选菊花，也可选故人喜爱的花
祭祀准备,上供用品,三种水果（苹果、橘子、香蕉每样 3-5 个）,供品数量为单数
祭祀准备,上供用品,两种糕点（青团或蛋糕）,供品数量为单数
祭祀准备,上供用品,一瓶酒,用于敬献天地故人
祭祀准备,上供用品,三只酒杯,用于盛放敬献的酒水
祭祀准备,上供用品,一个拜垫,用于祭祀时跪拜行礼
祭祀准备,烧化祭品,百宝箱 1 只,用于烧化供奉
祭祀准备,烧化祭品,锡箔若干,用于烧化供奉
祭祀准备,烧化祭品,"冥疏路引 1 份（冥疏）, 由路引、文表、立契等组成",需写明先人姓名、生卒年月及祭祀人姓名、关系
祭祀流程,执行步骤,除杂,到达墓前先亲手清除杂草，以示祭扫
祭祀流程,执行步骤,净碑,用毛巾从上至下、从左至右擦拭墓碑及墓盖，以示尽孝
祭祀流程,执行步骤,检查,检查墓位四周，查看扶手是否松动、碑盖是否有裂纹等破损情况
祭祀流程,执行步骤,摆供,水果个数为三或九，不可随意摆放
祭祀流程,执行步骤,献酒,准备薄酒三杯，敬天、敬地、敬故人，感念庇佑降福
祭祀流程,执行步骤,敬花,墓地敬献鲜花首选菊花，也可选故人生前喜爱的花
祭祀流程,执行步骤,墓话,以 “事亡如事存” 的态度与故人交流，唠家常、说现状或计划
祭祀流程,执行步骤,行礼,故人长辈行注目礼，孝子孝女及贤孙行跪拜礼，兄弟姊妹及朋友行鞠躬礼
祭祀流程,执行步骤,分福,祭祀完毕后撤去祭品，家庭成员分食享用，不宜留在墓地或带回家扔掉
